,Rank,School,State,Score,Year,8-Event,10-Event
258,258,Summerville High School,California,31581,2017,,
259,259,Trumbull High School,Connecticut,31561,2017,,
260,260,Ghidotti Early College High School,California,31457.5,2017,,
261,261,Sam Houston High School,Texas,31425.6,2017,,
262,262,Seagoville High School,Texas,31379.6,2017,,
263,263,Skyline High School,Arizona,31364,2017,,
264,264,Desert Ridge High School,Arizona,31338.7,2017,,
265,265,Avalon High School,Minnesota,31199.9,2017,,
266,266,A.R. Johnson Magnet High School,Georgia,31161.4,2017,,
267,267,East Greenwich High School,Rhode Island,31093.1,2017,,
268,268,Tully Junior/Senior High School,New York,30929,2017,,
269,269,Bret Harte High School,California,30885.6,2017,,
270,270,Yosemite High School,California,30726.6,2017,,
271,271,North Quincy High School,Massachusetts,30723.5,2017,,
272,272,Marysville High School,California,30717.5,2017,,
273,273,Duchesne High School,Utah,30614.9,2017,,
274,274,Copper Hills High School,Utah,30580.9,2017,,
275,275,Betty Fairfax High School,Arizona,30464.9,2017,,
276,276,Granite Hills High School,California,30462,2017,,
277,277,Sunnyside High School,Arizona,30435.3,2017,,
278,278,Oak Hill High School,Maine,30399,2017,,
279,279,North Clarion High School,Pennsylvania,30320.9,2017,,
280,280,Craig High School,Alaska,30291.2,2017,,
281,281,Quincy High School,Massachusetts,30242.9,2017,,
282,282,Winneconne High School,Wisconsin,30224.7,2017,,
283,283,Berkmar High School,Georgia,30161.4,2017,,
284,284,Urbandale High School,Iowa,30143.7,2017,,
285,285,Morris Knolls High School,New Jersey,30101.4,2017,,
0,1,El Camino Real Charter High School,California,55942.4,2018,,
1,2,Granada Hills Charter High School,California,55069.2,2018,,
2,3,South Pasadena High School,California,53757.1,2018,,
3,4,Franklin High School,California,52417.4,2018,,
4,5,Lubbock High School,Texas,52206.2,2018,,
5,6,Dulles High School,Texas,52114.4,2018,,
6,7,Oakwood High School,Ohio,51969.6,2018,,
7,8,Highland Park High School,Texas,51569.4,2018,,
8,9,Mark Keppel High School,California,50300.9,2018,,
9,10,Seven Lakes High School,Texas,50169.3,2018,,
10,11,Friendswood High School,Texas,50050,2018,,
11,12,Coppell High School,Texas,49771.8,2018,,
12,13,Chaffey High School,California,49352.8,2018,,
13,14,James E. Taylor High School,Texas,49273.5,2018,,
14,15,J. Frank Dobie High School,Texas,48777.3,2018,,
15,16,Plano East Senior High School,Texas,48421.6,2018,,
16,17,Summit High School,Texas,48374.2,2018,,
17,18,Garfield High School,California,48181.5,2018,,
18,19,Rancho Cucamonga High School,California,48177.7,2018,,
19,20,J. J. Pearce High School,Texas,47965.2,2018,,
20,21,Whitney M. Young Magnet High School,Illinois,47943.3,2018,,
21,22,Bell High School,California,47678.3,2018,,
22,23,Klein High School,Texas,47647.2,2018,,
23,24,Rockwall-Heath High School,Texas,47608.6,2018,,
24,25,Woodbridge High School,California,47501.9,2018,,
25,26,Clear Lake High School,Texas,47432.1,2018,,
26,27,Rockwall High School,Texas,47372.7,2018,,
27,28,University High School,California,47363.7,2018,,
28,29,Canyon del Oro High School,Arizona,47303.5,2018,,
29,30,Elsinore High School,California,47163.1,2018,,
30,31,Wylie East High School,Texas,47040.1,2018,,
31,32,Montgomery High School,Texas,46968.8,2018,,
32,33,Pearland High School,Texas,46952.3,2018,,
33,34,Creighton Preparatory School,Nebraska,"46,882[1]",2018,,
34,35,Westminster High School,California,46776.2,2018,,
35,36,Acton-Boxborough Regional High School,Massachusetts,46632,2018,,
36,37,Edward S. Marcus High School,Texas,46557.8,2018,,
37,38,Lincoln Pius X High School,Nebraska,"46,328[1]",2018,,
38,39,Casa Grande High School,California,46163.1,2018,,
39,40,John Marshall High School,Texas,46156.3,2018,,
40,41,Hebron High School,Texas,46107.3,2018,,
41,42,Albert G. Lane Technical High School,Illinois,45892.2,2018,,
42,43,Irving High School,Texas,45804.4,2018,,
43,44,Little Elm High School,Texas,45699.6,2018,,
44,45,Lone Star High School,Texas,45470,2018,,
45,46,Cedar Rapids Jefferson High School,Iowa,45371.5,2018,,
46,47,Centennial High School,Texas,45344.9,2018,,
47,48,Plano Senior High School,Texas,45317,2018,,
48,49,Bishop Hendricken High School,Rhode Island,45280.3,2018,,
49,50,Hamilton High School,Arizona,45129.1,2018,,
50,51,Nimitz High School,Texas,45124,2018,,
51,52,Mountain View Mesa High School,Arizona,44959.9,2018,,
52,53,Lebanon Trail High School,Texas,44932,2018,,
53,54,Wakeland High School,Texas,44856.5,2018,,
54,55,Rosemead High School,California,44803.2,2018,,
55,56,Palisades Charter High School,California,44731.8,2018,,
56,57,Westwood High School,Arizona,44715.2,2018,,
57,58,Bandera High School,Texas,44478.2,2018,,
58,59,Monterey High School,Texas,44311.2,2018,,
59,60,Keller High School,Texas,44263.1,2018,,
60,61,University High School (Irvine),California,44179.5,2018,,
61,62,Mount Michael Benedictine High School,Nebraska,"43,978[1]",2018,,
62,63,Turner College & Career High School,Texas,43946.1,2018,,
63,64,Morton Ranch High School,Texas,43919,2018,,
64,65,Cesar Chavez High School,Arizona,43883.1,2018,,
65,66,The Colony High School,Texas,43863.6,2018,,
66,67,Trabuco Hills High School,California,43687,2018,,
67,68,Reedy High School,Texas,43667.9,2018,,
68,69,Martin High School,Texas,43627.5,2018,,
69,70,Clear Creek High School,Texas,43613.5,2018,,
70,71,Lemoore Middle College High School,California,43471.9,2018,,
71,72,Wilmot Union High School,Wisconsin,43318.6,2018,,
72,73,Watertown High School,Wisconsin,43221.5,2018,,
73,74,Oxnard High School,California,43192.1,2018,,
74,75,Martinsville High School,Indiana,43009,2018,,
75,76,Barbers Hill High School,Texas,42959.6,2018,,
76,77,Richardson High School,Texas,42898.6,2018,,
77,78,Souderton Area High School,Pennsylvania,42791.6,2018,,
78,79,Northwest Pennsylvania Collegiate Academy,Pennsylvania,42786.1,2018,,
79,80,Katy High School,Texas,42609.6,2018,,
80,81,Arlington High School,Texas,42562.8,2018,,
81,82,Hamilton High School,California,42542.2,2018,,
82,83,Lowell High School,Indiana,42534,2018,,
83,84,Ketchikan High School,Alaska,42398.3,2018,,
84,85,Beverly Hills High School,California,42282.3,2018,,
85,86,Parsippany High School,New Jersey,42278.4,2018,,
86,87,Redlands High School,California,42227.3,2018,,
87,88,Flower Mound High School,Texas,42167.8,2018,,
88,89,Clear Springs High School,Texas,42167.3,2018,,
89,90,Alvin High School,Texas,42162.2,2018,,
90,91,Skyline High School,Arizona,42099.1,2018,,
91,92,La Reina High School,California,41992.6,2018,,
92,93,Lathrop High School,Alaska,41987.1,2018,,
93,94,Pasadena Memorial High School,Texas,41851.3,2018,,
94,95,Frisco Liberty High School,Texas,41844.2,2018,,
95,96,Ashland High School,Massachusetts,41812.3,2018,,
96,97,Willoughby South High School,Ohio,41748,2018,,
97,98,Pewaukee High School,Wisconsin,41698.4,2018,,
98,99,Wasco Union High School,California,41584,2018,,
99,100,Campolindo High School,California,41534.8,2018,,
100,101,Poteet High School,Texas,41533.4,2018,,
101,102,Seneca Valley High School,Pennsylvania,41479,2018,,
102,103,Edgewood High School,California,41455.4,2018,,
103,104,Tompkins High School,Texas,41455.2,2018,,
104,105,Heritage High School,Texas,41234.5,2018,,
105,106,Independence High School,Texas,41049.3,2018,,
106,107,Harry A. Burke High School,Nebraska,"40,830[1]",2018,,
107,108,Seton Catholic High School,Arizona,40734,2018,,
108,109,Indian Hills High School,New Jersey,40722.5,2018,,
109,110,Monmouth Academy,Maine,40714.4,2018,,
110,111,Scarborough High School,Maine,40652.8,2018,,
111,112,Richard King High School,Texas,40582.4,2018,,
112,113,West Windsor-Plainsboro High School North,New Jersey,40453.2,2018,,
113,114,Da Vinci Academy of Science & the Arts,Utah,40452.3,2018,,
114,115,New Berlin Eisenhower Middle High School,Wisconsin,40399.1,2018,,
115,116,Lloyd V. Berkner High School,Texas,40336.3,2018,,
116,117,Shawnee Mission South High School,Kansas,40331.4,2018,,
117,118,Sugar-Salem High School,Idaho,39993,2018,,
118,119,Sandpoint High School,Idaho,39708.1,2018,,
119,120,Bingham High School,Utah,39548.1,2018,,
120,121,Reitz Memorial High School,Indiana,39434.4,2018,,
121,122,Rufus King International High School,Wisconsin,39352.8,2018,,
122,123,Wellesley High School,Massachusetts,39278.7,2018,,
123,124,Foster High School,Texas,39273.5,2018,,
124,125,Lubbock Coronado High School,Texas,39243.6,2018,,
125,126,Fossil Ridge High School,Texas,39227.6,2018,,
126,127,McDowell High School,Pennsylvania,39133.3,2018,,
127,128,Waukesha West High School,Wisconsin,39032.8,2018,,
128,129,Clarion-Limestone High School,Pennsylvania,38979,2018,,
129,130,South Central Calhoun High School,Iowa,38973.7,2018,,
130,131,Wylie High School,Texas,38848.9,2018,,
131,132,BASIS Peoria,Arizona,38801.2,2018,,
132,133,New Richmond High School,Wisconsin,38661.7,2018,,
133,134,Sam Houston High School,Texas,38623.8,2018,,
134,135,El Paso Coronado High School,Texas,38614.9,2018,,
135,136,Lakeview-Fort Oglethorpe High School,Georgia,38500,2018,,
136,137,Alice High School,Texas,38386.9,2018,,
137,138,Elkins High School,Texas,38076.2,2018,,
138,139,Westwood Regional High School,New Jersey,37908.5,2018,,
139,140,BASIS Chandler,Arizona,37855.1,2018,,
140,141,Townview School for Science & Engineering,Texas,37807.3,2018,,
141,142,New Albany High School,Indiana,37707.9,2018,,
142,143,Red Mountain High School,Arizona,37653.2,2018,,
143,144,New Berlin West Middle High School,Wisconsin,37498.7,2018,,
144,145,Cedar Rapids Kennedy High School,Iowa,37414.7,2018,,
145,146,Talkington High School for Young Women Leaders,Texas,37152.1,2018,,
146,147,Tuloso-Midway High School,Texas,37097.7,2018,,
147,148,Parkview High School,Georgia,37088.3,2018,,
148,149,Johnston High School,Iowa,37084.7,2018,,
149,150,Taylor High School,Texas,36977.2,2018,,
150,151,Lone Peak High School,Utah,36959.6,2018,,
151,152,Higley High School,Arizona,36660.7,2018,,
152,153,Lake Ridge High School,Texas,36540.6,2018,,
153,154,Dobson High School,Arizona,36525.1,2018,,
154,155,Sun Prairie High School,Wisconsin,36492.6,2018,,
155,156,Dowling Catholic High School,Iowa,36305.1,2018,,
156,157,Alhambra High School,Arizona,36299.3,2018,,
157,158,El Paso High School,Texas,36210.9,2018,,
158,159,Veterans Memorial High School,Texas,36106.4,2018,,
159,160,Maryvale High School,Arizona,36060.9,2018,,
160,161,Carlisle High School,Pennsylvania,35968.4,2018,,
161,162,Columbus High School,Georgia,35956.5,2018,,
162,163,Lake Crystal Wellcome Memorial High School,Minnesota,35876.9,2018,,
163,164,Tully Junior/Senior High School,New York,35471,2018,,
164,165,Estacado High School,Texas,35460.9,2018,,
165,166,Wheatland High School,Wyoming,35445,2018,,
166,167,Parsippany Hills High School,New Jersey,35270.3,2018,,
167,168,Union High School,Iowa,35267.3,2018,,
168,169,Boulder Creek High School,Arizona,35185.8,2018,,
169,170,Kinnelon High School,New Jersey,35005.1,2018,,
170,171,International Leadership Of Texas - Garland High School,Texas,34972,2018,,
171,172,Interior Distance Education of Alaska,Alaska,34945.6,2018,,
172,173,Cibola High School,Arizona,34882,2018,,
173,174,Penns Valley High School,Pennsylvania,34877.7,2018,,
174,175,North Penn High School,Pennsylvania,34864.3,2018,,
175,176,North Clarion High School,Pennsylvania,34736.8,2018,,
176,177,West Valley High School,Alaska,34723.4,2018,,
177,178,Hardaway High School,Georgia,34678.4,2018,,
178,179,Carver High School,Georgia,34572.1,2018,,
179,180,St. Peter High School,Minnesota,34555.6,2018,,
180,181,W.B. Ray High School,Texas,34497.3,2018,,
181,182,BASIS Scottsdale,Arizona,34457.5,2018,,
182,183,St. Johns High School,Arizona,34328.8,2018,,
183,184,Buena High School,Arizona,34246.9,2018,,
184,185,Benson High School,Arizona,34158.8,2018,,
185,186,Homestead High School,Indiana,34149,2018,,
186,187,Grundy Center/Dike-New Hartford High Schools,Iowa,34138.7,2018,,
187,188,Desert View High School,Arizona,34054.1,2018,,
188,189,Sunnyside High School,Arizona,33897.6,2018,,
189,190,Johnston Senior High School,Rhode Island,33808.6,2018,,
190,191,Bangor High School,Maine,33769,2018,,
191,192,Marana High School,Arizona,33707.4,2018,,
192,193,Earl Warren High School,Texas,33692.5,2018,,
193,194,Bryan Adams High School,Texas,33675.2,2018,,
194,195,Andrean High School,Indiana,33643.7,2018,,
195,196,Quincy High School,Massachusetts,33521.6,2018,,
196,197,Northside College Preparatory High School,Illinois,33509.8,2018,,
197,198,Hutchison High School,Alaska,33336.3,2018,,
198,199,South Mountain High School,Arizona,33323.5,2018,,
199,200,Hackensack High School,New Jersey,33245,2018,,
200,201,Caddo Parish Magnet High School,Louisiana,33242,2018,,
201,202,Northwestern High School,Pennsylvania,33084.4,2018,,
202,203,Avalon High School,Minnesota,33022.6,2018,,
203,204,Carl Schurz High School,Illinois,32980.8,2018,,
204,205,Kamehameha Schools Hawai'i Campus,Hawaii,32965.8,2018,,
205,206,A.R. Johnson Magnet High School,Georgia,32937.4,2018,,
206,207,West Windsor-Plainsboro High School South,New Jersey,32864,2018,,
207,208,Seagoville High School,Texas,32861.6,2018,,
208,209,Phillipsburg-Osceola High School,Pennsylvania,32844.4,2018,,
209,210,Williams Field High School,Arizona,32702.6,2018,,
210,211,Trumbull High School,Connecticut,32667.9,2018,,
211,212,Park City High School,Utah,32570.6,2018,,
212,213,Crown Point High School,Indiana,32548.7,2018,,
213,214,Betty Fairfax High School,Arizona,32510.7,2018,,
214,215,Montoursville High School,Pennsylvania,32461.1,2018,,
215,216,Mountain View Marana High School,Arizona,32443.2,2018,,
216,217,Mason City High School,Iowa,32225.1,2018,,
217,218,Classical High School,Rhode Island,32061.7,2018,,
218,219,Liberty High School (Liberty ISD),Texas,31893.2,2018,,
219,220,Kingman Academy of Learning,Arizona,31864.8,2018,,
220,221,Flowing Wells High School,Arizona,31483.3,2018,,
221,222,Riverton High School,Utah,31422.1,2018,,
222,223,East Greenwich High School,Rhode Island,31336.2,2018,,
223,224,Stephen Tyng Mather High School,Illinois,31285.5,2018,,
224,225,Casteel High School,Arizona,31254.2,2018,,
225,226,Amundsen High School,Illinois,31134.1,2018,,
226,227,Prescott High School,Arizona,30909.8,2018,,
227,228,Rutherford High School,New Jersey,30818.5,2018,,
228,229,New Fairfield High School,Connecticut,30776.1,2018,,
229,230,Chattahoochee County High School,Georgia,30743,2018,,
230,231,Gila Ridge High School,Arizona,30673.4,2018,,
231,232,Robert G. Cole High School,Texas,30642.8,2018,,
232,233,Spirit Lake High School,Iowa,30636.4,2018,,
233,234,Villa Rica High School,Georgia,30488.8,2018,,
234,235,Vail Christian Academy,Colorado,30374.4,2018,,
235,236,Pittsfield High School,Massachusetts,30276.1,2018,,
236,237,Copper Hills High School,Utah,30177.9,2018,,
237,238,Westover High School,Georgia,30144.7,2018,,
238,239,Chicago High School for Agricultural Sciences,Illinois,30140.8,2018,,
239,240,La Lumiere High School,Indiana,30048.7,2018,,
240,241,Show Low High School,Arizona,30046.9,2018,,
241,242,Shaw High School,Georgia,30034.5,2018,,
242,243,Cranston High School West,Rhode Island,30019.3,2018,,
0,1,Granada Hills Charter High School,California,53886.4,2019,,
1,2,Dulles High School,Texas,53202.2,2019,,
2,3,El Camino Real Charter High School,California,53130.2,2019,,
3,4,John Marshall High School,Texas,50696.4,2019,,
4,5,Rockwall High School,Texas,50267.3,2019,,
5,6,Highland Park High School,Texas,50240.7,2019,,
6,7,Lubbock High School,Texas,50134.8,2019,,
7,8,Oakwood High School,Ohio,50018.7,2019,,
8,9,Pearland High School,Texas,49095.3,2019,,
9,10,Friendswood High School,Texas,48751.1,2019,,
10,11,Lebanon Trail High School,Texas,48750.8,2019,,
11,12,Plano East Senior High School,Texas,48583.9,2019,,
12,13,Whitney M. Young Magnet High School,Illinois,48457.4,2019,,
13,14,Grant High School,California,48325.9,2019,,
14,15,Calabasas High School,California,48243.5,2019,,
15,16,Seven Lakes High School,Texas,47955.4,2019,,
16,17,Rancho Cucamonga High School,California,47806,2019,,
17,18,Albert G. Lane Technical High School,Illinois,47682.1,2019,,
18,19,Woodbridge High School,California,47679.2,2019,,
19,20,James E. Taylor High School,Texas,47627,2019,,
20,21,Franklin High School,California,47559.7,2019,,
21,22,Hamilton High School,Arizona,47544.7,2019,,
22,23,Canyon del Oro High School,Arizona,47535.6,2019,,
23,24,Monterey High School,Texas,47502.4,2019,,
24,25,West Torrance High School,California,47478.5,2019,,
25,26,Rockwall-Heath High School,Texas,47422.6,2019,,
26,27,J. Frank Dobie High School,Texas,46921.9,2019,,
27,28,Lemoore Middle College High School,California,46613.3,2019,,
28,29,Mark Keppel High School,California,46560.8,2019,,
29,30,Westwood High School,Arizona,46537.5,2019,,
30,31,Klein High School,Texas,46366.5,2019,,
31,32,Wilmot Union High School,Wisconsin,46309,2019,,
32,33,Nimitz High School,Texas,46205.4,2019,,
33,34,Clear Lake High School,Texas,46110.5,2019,,
34,35,Edward S. Marcus High School,Texas,45774.3,2019,,
35,36,Plano Senior High School,Texas,45462.9,2019,,
36,37,Palisades Charter High School,California,45399.3,2019,,
37,38,Mountain View Mesa High School,Arizona,45239.9,2019,,
38,39,Pasadena Memorial High School,Texas,45229.8,2019,,
39,40,Martinsville High School,Indiana,45229,2019,,
40,41,Montgomery High School,Texas,45195.6,2019,,
41,42,Edison High School,California,45076.9,2019,,
42,43,Wakeland High School,Texas,45062.5,2019,,
43,44,Cinco Ranch High School,Texas,44569.3,2019,,
44,45,Summit High School,Texas,44565.2,2019,,
45,46,J. J. Pearce High School,Texas,44561.5,2019,,
46,47,Seneca Valley High School,Pennsylvania,44550.8,2019,,
47,48,Heritage High School,Texas,44347.5,2019,,
48,49,The Colony High School,Texas,44339.3,2019,,
49,50,Beverly Hills High School,California,44231.9,2019,,
50,51,Bell High School,California,44225.7,2019,,
51,52,University High School,California,44189.8,2019,,
52,53,Cedar Rapids Jefferson High School,Iowa,44184.1,2019,,
53,54,Olympian High School,California,44088.8,2019,,
54,55,Irving High School,Texas,43943.2,2019,,
55,56,Redlands High School,California,43934.4,2019,,
56,57,Garfield High School,California,43862.6,2019,,
57,58,Earl Warren High School,Texas,43565.3,2019,,
58,59,Chaffey High School,California,43521.4,2019,,
59,60,Lathrop High School,Alaska,43493.9,2019,,
60,61,University High School (Irvine),California,43473.1,2019,,
61,62,Centennial High School,Texas,43460,2019,,
62,63,Elsinore High School,California,43448.7,2019,,
63,64,Watertown High School,Wisconsin,43395,2019,,
64,65,Coppell High School,Texas,43351.1,2019,,
65,66,Flower Mound High School,Texas,43197.5,2019,,
66,67,Lincoln Pius X High School,Nebraska,"43,137.3[1]",2019,,
67,68,Ridge Point High School,Texas,42993.9,2019,,
68,69,Wylie East High School,Texas,42937.7,2019,,
69,70,Alvin High School,Texas,42928,2019,,
70,71,Cesar Chavez High School,Arizona,42879.2,2019,,
71,72,Hebron High School,Texas,42868.2,2019,,
72,73,Plano West Senior High School,Texas,42721.8,2019,,
73,74,Willoughby South High School,Ohio,42679.9,2019,,
74,75,Bishop Hendricken High School,Rhode Island,42478.9,2019,,
75,76,Bandera High School,Texas,42349.8,2019,,
76,77,Mount Michael Benedictine High School,Nebraska,"42,184.3[1]",2019,,
77,78,Arlington High School,Texas,42162.7,2019,,
78,79,Poteet High School,Texas,42112.6,2019,,
79,80,Keller High School,Texas,42088,2019,,
80,81,Frenship High School,Texas,42068.3,2019,,
81,82,Bingham High School,Utah,41814,2019,,
82,83,Katy High School,Texas,41798.8,2019,,
83,84,Lone Peak High School,Utah,41798,2019,,
84,85,Tompkins High School,Texas,41627.1,2019,,
85,86,Folsom High School,California,41525.2,2019,,
86,87,Bella Vista High School,California,41471.4,2019,,
87,88,Richard King High School,Texas,41456.3,2019,,
88,89,Sandpoint High School,Idaho,41448.2,2019,,
89,90,Valencia High School,California,41275.5,2019,,
90,91,Marshall High School,California,41243.4,2019,,
91,92,Pleasant Grove High School,California,41124.4,2019,,
92,93,Trabuco Hills High School,California,41062,2019,,
93,94,Hughson High School,California,41040.4,2019,,
94,95,Richardson High School,Texas,41019.2,2019,,
95,96,Palos Verdes Peninsula High School,California,40845.5,2019,,
96,97,La Reina High School,California,40754.5,2019,,
97,98,Valley Academy of Arts & Sciences,California,40670.1,2019,,
98,99,Morton Ranch High School,Texas,40609.9,2019,,
99,100,Lake Ridge High School,Texas,40605.3,2019,,
100,101,Westlake High School,California,40505.7,2019,,
101,102,Northwest Pennsylvania Collegiate Academy,Pennsylvania,40458.1,2019,,
102,103,Seton Catholic High School,Arizona,40436.5,2019,,
103,104,Barbers Hill High School,Texas,40284.9,2019,,
104,105,Middle College High School,California,40071.9,2019,,
105,106,Da Vinci Academy of Science & the Arts,Utah,40060.5,2019,,
106,107,Waukesha West High School,Wisconsin,39836.3,2019,,
107,108,Stockdale High School,California,39814.8,2019,,
108,109,Madison Academic High School,Tennessee,"39,799[3]",2019,,
109,110,Foster High School,Texas,39778.4,2019,,
110,111,Redondo Union High School,California,39724.3,2019,,
111,112,Little Elm High School,Texas,39682,2019,,
112,113,Oxnard High School,California,39624,2019,,
113,114,Skyline High School,Arizona,39572.9,2019,,
114,115,Edgewood High School,California,39506.2,2019,,
115,116,Westminster High School,California,39284.4,2019,,
116,117,Lone Star High School,Texas,39215.8,2019,,
117,118,Rosemead High School,California,39115.7,2019,,
118,119,North Hollywood High School,California,39010.6,2019,,
119,120,Campolindo High School,California,38938,2019,,
120,121,Wylie High School,Texas,38908.7,2019,,
121,122,Westchester Enriched Sciences Magnets,California,38896.3,2019,,
122,123,Fossil Ridge High School,Texas,38823.8,2019,,
123,124,Lowell High School,Indiana,38793.7,2019,,
124,125,Basha High School,Arizona,38787.6,2019,,
125,126,Van Nuys High School,California,38688.5,2019,,
126,127,Taylor High School,Texas,38680.8,2019,,
127,128,South Central Calhoun High School,Iowa,38673.4,2019,,
128,129,Casteel High School,Arizona,38652,2019,,
129,130,Willits High School,California,38638.5,2019,,
130,131,West Valley High School,California,38546.4,2019,,
131,132,Townview School for the Talented & Gifted,Texas,38533.6,2019,,
132,133,Dowling Catholic High School,Iowa,38524.7,2019,,
133,134,Acton-Boxborough Regional High School,Massachusetts,38445.9,2019,,
134,135,Bishop Alemany High School,California,38434,2019,,
135,136,Frisco High School,Texas,38430.4,2019,,
136,137,Lakeview-Fort Oglethorpe High School,Georgia,38346.8,2019,,
137,138,McDowell High School,Pennsylvania,38242.5,2019,,
138,139,Vanden High School,California,38186.1,2019,,
139,140,Cibola High School,Arizona,38121.3,2019,,
140,141,Clarion-Limestone High School,Pennsylvania,38102.7,2019,,
141,142,BASIS Scottsdale,Arizona,38043,2019,,
142,143,Red Mountain High School,Arizona,38017.4,2019,,
143,144,St. Johns High School,Arizona,37815.6,2019,,
144,145,North Penn High School,Pennsylvania,37715.1,2019,,
145,146,Fowler High School,California,37458.7,2019,,
146,147,Legacy High School,Texas,37432.6,2019,,
147,148,Tuloso-Midway High School,Texas,37343.3,2019,,
148,149,Lourdes Central Catholic High School,Nebraska,"37,341.7[1]",2019,,
149,150,Souderton Area High School,Pennsylvania,37248.6,2019,,
150,151,Marana High School,Arizona,37222,2019,,
151,152,El Rancho High School,California,37215.2,2019,,
152,153,Higley High School,Arizona,37175,2019,,
153,154,Mountain View Marana High School,Arizona,37082.5,2019,,
154,155,Reedy High School,Texas,37063.4,2019,,
155,156,Frisco Liberty High School,Texas,37019.8,2019,,
156,157,Marysville High School,California,36676.7,2019,,
157,158,Carlisle High School,Pennsylvania,36635.4,2019,,
158,159,Interior Distance Education of Alaska,Alaska,36615.4,2019,,
159,160,Avalon School,Minnesota,36517.5,2019,,
160,161,Martin High School,Texas,36418.3,2019,,
161,162,Alice High School,Texas,36342.5,2019,,
162,163,El Paso Coronado High School,Texas,36169.4,2019,,
163,164,Renaissance High School,Idaho,36145,2019,,
164,165,Scarborough High School,Maine,36126.2,2019,,
165,166,Dobson High School,Arizona,36120,2019,,
166,167,Wellesley High School,Massachusetts,36083.6,2019,,
167,168,Liberty High School (Liberty ISD),Texas,36075.1,2019,,
168,169,Talkington High School for Young Women Leaders,Texas,35983.7,2019,,
169,170,Caddo Parish Magnet High School,Louisiana,35889,2019,,
170,171,Desert View High School,Arizona,35865.1,2019,,
171,172,Sunnyside High School,Arizona,35764.9,2019,,
172,173,El Paso High School,Texas,35760.8,2019,,
173,174,Sugar-Salem High School,Idaho,35756,2019,,
174,175,Monmouth Academy,Maine,35593,2019,,
175,176,Reitz Memorial High School,Indiana,35480,2019,,
176,177,Northside College Preparatory High School,Illinois,35352.2,2019,,
177,178,BASIS Peoria,Arizona,35291.5,2019,,
178,179,Meadville High School,Pennsylvania,35213.4,2019,,
179,180,Independence High School,Texas,35144.9,2019,,
180,181,Melrose-Mindoro High School,Wisconsin,35128.8,2019,,
181,182,Chowchilla Union High School,California,35071.7,2019,,
182,183,Cedar Rapids Kennedy High School,Iowa,35044.5,2019,,
183,184,West Valley High School,Alaska,35020.7,2019,,
184,185,Wheatland High School,Wyoming,34966,2019,,
185,186,Veterans Memorial High School,Texas,34899.8,2019,,
186,187,Sonoran Science High School,Arizona,34810.3,2019,,
187,188,El Diamante High School,California,34685.3,2019,,
188,189,Oak Hill High School,Maine,34600,2019,,
189,190,Ashland High School,Massachusetts,34481.3,2019,,
190,191,Carl Schurz High School,Illinois,34451.2,2019,,
191,192,Hardaway High School,Georgia,34364.5,2019,,
192,193,Methacton High School,Pennsylvania,34303.8,2019,,
193,194,BASIS Chandler,Arizona,34274.6,2019,,
194,195,Lakeview Crystal Wellcome High School,Minnesota,34203.1,2019,,
195,196,Green Bay Preble High School,Wisconsin,34192.7,2019,,
196,197,Sun Prairie High School,Wisconsin,33957.4,2019,,
197,198,Oak Ridge High School,California,33855.8,2019,,
198,199,Cedar Rapids Washington High School,Iowa,33825.7,2019,,
199,200,St. Peter High School,Minnesota,33634.8,2019,,
200,201,Ghidotti Early College High School,California,33579,2019,,
201,202,Catalina Foothills High School,Arizona,33554.6,2019,,
202,203,New Albany High School,Indiana,33515.4,2019,,
203,204,Shawnee Mission South High School,Kansas,33481.8,2019,,
204,205,West Geauga High School,Ohio,33391,2019,,
205,206,Maryvale High School,Arizona,33383.9,2019,,
206,207,South Mountain High School,Arizona,33294.3,2019,,
207,208,Summerville High School,California,33261.1,2019,,
208,209,Amundsen High School,Illinois,33258.1,2019,,
209,210,Cazenovia High School,New York,33207.5,2019,,
210,211,Ketchikan High School,Alaska,33177.1,2019,,
211,212,North Clarion High School,Pennsylvania,33091.6,2019,,
212,213,Johnston High School,Iowa,33071.9,2019,,
213,214,Western Sierra Collegiate Academy,California,32942.2,2019,,
214,215,Merced High School,California,32732.7,2019,,
215,216,Mesa High School,Arizona,32464.1,2019,,
216,217,Riverside High School,Ohio,32451.1,2019,,
217,218,Gila Ridge High School,Arizona,32431.5,2019,,
218,219,Estacado High School,Texas,32388.9,2019,,
219,220,Montoursville High School,Pennsylvania,32297.5,2019,,
220,221,Robert Vela High School,Texas,32254.9,2019,,
221,222,Chicago High School for Agricultural Sciences,Illinois,32030.4,2019,,
222,223,Northwestern High School,Pennsylvania,32018,2019,,
223,224,East Greenwich High School,Rhode Island,32011.3,2019,,
224,225,Grundy Center/Dike-New Hartford High Schools,Iowa,31938.7,2019,,
225,226,American Canyon High School,California,31919.4,2019,,
226,227,Sam Houston High School,Texas,31911.4,2019,,
227,228,Union High School,Iowa,31812.1,2019,,
228,229,Show Low High School,Arizona,31747.2,2019,,
229,230,Aubrey High School,Texas,31732.8,2019,,
230,231,Villa Rica High School,Georgia,31517.4,2019,,
231,232,Des Moines North High School,Iowa,31499.2,2019,,
232,233,Casa Grande High School,California,31466.1,2019,,
233,234,New Fairfield High School,Connecticut,31367.9,2019,,
234,235,Bryan Adams High School,Texas,31305.1,2019,,
235,236,Williams Field High School,Arizona,31272.1,2019,,
